stack	#	Mfthue	Rgbbrightness	Knoblevelcolorr	Knoblevelcolorg	Knoblevelcolorb	Bindparameterref	Value0	Buttontype	Value1
1	knob1	0.0	1.0	1.0	0.0	0.0		0.0	0.0	0.0
1	knob2	0.0	1.0	1.0	0.0	0.0		0.0	0.0	0.0
1	knob3	0.0	1.0	1.0	0.0	0.0		0.0	0.0	0.0
1	knob4	0.0	1.0	1.0	0.0	0.0		0.0	0.0	0.0
1	knob5	0.0	1.0	1.0	0.0	0.0		0.0	0.0	0.0
1	knob6	0.0	1.0	1.0	0.0	0.0		0.0	0.0	0.0
1	knob7	0.0	1.0	1.0	0.0	0.0		0.0	0.0	0.0
1	knob8	0.0	1.0	1.0	0.0	0.0		0.0	0.0	0.0
2	knob9	0.0	1.0	1.0	0.0	0.0		0.0	0.0	0.0
2	knob10	0.0	1.0	1.0	0.0	0.0		0.0	0.0	0.0
2	knob11	0.0	1.0	1.0	0.0	0.0		0.0	0.0	0.0
2	knob12	0.0	1.0	1.0	0.0	0.0		0.0	0.0	0.0
2	knob13	0.0	1.0	1.0	0.0	0.0		0.0	0.0	0.0
2	knob14	0.0	1.0	1.0	0.0	0.0		0.0	0.0	0.0
2	knob15	0.0	1.0	1.0	0.0	0.0		0.0	0.0	0.0
2	knob16	0.0	1.0	1.0	0.0	0.0		0.0	0.0	0.0
